,index,adventure,software training,photo editing,indie,education,action,animation &amp; modeling,early access,free to play,audio production,massively multiplayer,design &amp; illustration,utilities,sports,racing,rpg,accounting,simulation,casual,strategy,video production,game
0,88310,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,lost summoner kitty
1,88311,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,ironbound
2,88312,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,real pool 3d - poolians
3,88313,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,弹炸人2222
4,88314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,log challenge
5,88315,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,battle royale trainer
6,88316,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,snow - all access basic pass
7,88317,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,snow - all access pro pass
8,88318,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,snow - all access legend pass
9,88319,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,race
10,88320,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,uncanny islands
11,88321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,icarus six sixty six
12,88322,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,army of tentacles: (not) a cthulhu dating sim: black goat of the woods edition
13,88323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,beach rules
14,88324,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,planetarium 2 - zen odyssey
15,88325,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,the first thrust of god
16,88326,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,snow - starter pack
17,88327,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,the first thrust of god - all aircrafts
